Country,Name,Club,Position,Games,Goals
Togo,Randy Smith,Maranatha,forward,72,41
Iraq,Mary Baker,Al Shorta,defender,45,62
Vanuatu,Bryan Case,Shepherds United,defender,67,50
United Arab Emirates,David Lee,Al Wasl,midfielder,69,48
Serbia,William Hartman,Partizan,forward,69,17
Sweden,Jonathan Weeks,IFK Goteborg,forward,49,62
Germany,Charles Anderson,Bayer Leverkusen,defender,54,24
Panama,Gary Marsh,Atletico Chiriqui,goalkeeper,44,-83
Cameroon,John Johnson,Union Douala,defender,73,1
Azerbaijan,Walter Mclaughlin,Zira,midfielder,65,43
Costa Rica,Meredith Moore,San Carlos,goalkeeper,76,-49
Nauru,Johnny Bush,Aiwo,defender,74,39
Lesotho,Nancy Armstrong,Lioli,forward,62,1
Barbados,Crystal Hebert,Weymouth Wales,defender,51,60
Zambia,Haley Velazquez,Nkana,goalkeeper,52,-43
Samoa,Benjamin Cooper,Lepea,defender,57,72
Laos,Douglas Herrera,Chanthabouly,forward,57,42
United Kingdom,Miguel Green,Chelsea,defender,73,70
Fiji,James Brennan,Navua FC,midfielder,57,56
Trinidad and Tobago,Sean Pearson,Club Sando,forward,62,10
Chile,Heather Rice,Huachipato,forward,76,91
Honduras,Julie Mccormick,Real España,goalkeeper,51,-90
Moldova,Laura Bruce,Petrocub,midfielder,72,28
Georgia,Brian Myers,Torpedo Kutaisi,forward,47,26
Bahamas,Daniel Neal,Baha Juniors,forward,55,60
Burundi,Michael Johnson,Aigle Noir,goalkeeper,61,-39
Canada,Sarah Rhodes,Cavalry FC,midfielder,44,76
Brazil,Ryan Johnston,Flamengo,midfielder,62,62
Colombia,Megan Benjamin,Atletico Nacional,defender,54,50
Czech Republic,Kayla Fernandez,Bohemians 1905,forward,62,42
Mexico,Mary Hickman,Cruz Azul,defender,83,23
Guinea,Heather Stevens,Wakriya,defender,68,28
Cambodia,Stacy Miller,ISI Dangkor Senchey,defender,82,20
Ireland,Jeffrey Dougherty,Bohemians,midfielder,60,1
Iceland,Robert Davis,Vikingur Reykjavik,goalkeeper,68,-9
Netherlands,Melinda Kerr,Ajax,goalkeeper,64,-79
Iraq,Debra Williams,Al Talaba,midfielder,62,68
Moldova,Dr. Erika Greene DVM,Sheriff Tiraspol,goalkeeper,79,-85
Chad,Sarah Potts,AS Moundou,midfielder,48,67
Djibouti,Bryan Carter,CF Garde Republicaine,defender,56,82
Uzbekistan,Kathy Tanner,Sogdiana,forward,48,35
Tunisia,Hayden Bowers,Etoile du Sahel,midfielder,50,15
Haiti,Savannah Walker,Don Bosco,goalkeeper,50,-45
Uruguay,Mr. Kenneth Shah,River Plate Montevideo,defender,50,46
El Salvador,Sara Ford,Santa Tecla,defender,76,53
Mexico,Robert Hall,Pumas UNAM,forward,42,65
Finland,Randy Davila,SJK,midfielder,57,76
Afghanistan,Linda Turner,Maiwand FC,midfielder,47,47
Belarus,Stephen Savage,BATE Borisov,defender,62,55
Austria,John Potter,LASK,forward,54,59
Israel,Thomas Terry,Maccabi Haifa,goalkeeper,46,-45
Qatar,James Mcneil,Al Rayyan,forward,64,84
Grenada,Derrick Maxwell,Hard Rock FC,forward,74,33
Singapore,Kimberly Reyes,Balestier Khalsa,forward,73,94
Tuvalu,Adam Osborne,Manu Laeva,forward,45,68
Latvia,Donald Everett,Valmiera,midfielder,41,51
Belgium,Alex Skinner,Charleroi,forward,53,43
Uganda,Thomas Torres,KCCA,midfielder,54,42
Equatorial Guinea,Hunter Clark,Leones Vegetarianos,forward,52,52
Guyana,Steven Mccann,Buxton United,midfielder,59,44
Barbados,Lisa Martin,UWI Blackbirds,goalkeeper,55,-37
Greece,Shannon Martin,Panetolikos,midfielder,67,67
Chile,David Campbell,Universidad de Chile,defender,54,80
Malaysia,Joshua Boone,Johor Darul Ta'zim,defender,53,68
Philippines,Robert Ross,Ceres-Negros,goalkeeper,46,-75
Malawi,Barbara Johnson,Silver Strikers,midfielder,67,1
Norway,Kimberly Barrett,Viking,goalkeeper,64,-74
Saudi Arabia,Terry Johnson,Al Ittihad,midfielder,67,13
Dominica,Bradley Neal,Harlem United,goalkeeper,62,-81
Albania,Edward Kelly,Vllaznia,goalkeeper,61,-1
Sierra Leone,Aaron Webster,East End Lions,midfielder,66,34
Iraq,Sarah Holland,Naft Al-Wasat,defender,56,65
Ghana,Tim Campbell,Aduana Stars,goalkeeper,57,-31
Argentina,Amy Brooks,Racing Club,midfielder,36,62
Tunisia,Bryan Washington,Stade Tunisien,defender,62,25
Nauru,Troy Jackson,Nauru FC,defender,74,70
Namibia,Daniel Kent,Civics,defender,51,60
