Country,Name,Club,Position,Games,Goals
United States,Margaret Rodriguez,New York City FC,midfielder,62,40
Poland,Julie Terrell,Wisla Krakow,goalkeeper,58,-24
Belize,Deborah Dougherty,Verdes FC,defender,59,62
Costa Rica,Dylan Washington,Herediano,forward,49,74
Dominican Republic,Kelli Graham,Atletico Vega Real,midfielder,54,54
Guinea,Cole Palmer,CI Kamsar,forward,53,40
Guyana,Laura Leonard,Ann's Grove United,forward,54,59
Slovenia,Angie Taylor,Bravo,goalkeeper,55,-85
Saudi Arabia,Jamie Bates,Al Hilal,midfielder,79,59
Burundi,Daniel Harris,Flambeau du Centre,forward,47,45
Cape Verde,Jason Williams,Academica do Sal,midfielder,56,47
Peru,David Young,UTC Cajamarca,goalkeeper,65,-41
Egypt,Karen Taylor,Al Ahly,forward,40,29
New Zealand,Kelly Edwards,Hawke's Bay United,goalkeeper,56,-6
Fiji,Heather Estrada,Nadi FC,midfielder,47,57
Bahamas,Craig Shelton,United FC,midfielder,62,7
Honduras,Albert Johnson,Marathon,forward,68,34
Honduras,Bill Escobar,Platense,defender,50,26
North Macedonia,Sandra Moore,Sileks,goalkeeper,44,-73
Central African Republic,Courtney Terry,Sica Sport,goalkeeper,49,-62
Marshall Islands,David Glenn,Arno FC,defender,51,46
Mauritius,Juan Hall,Flacq United,goalkeeper,59,-26
South Sudan,Steven Washington,Atlabara,goalkeeper,79,-37
United Kingdom,Mr. Connor Butler MD,Chelsea,defender,57,92
Canada,Kevin Hicks,Valour FC,defender,70,50
Angola,Arthur Wood,Academica do Lobito,forward,18,75
Angola,Courtney Riley,Sagrada Esperanca,forward,62,36
Myanmar,Christine Burke,ISPE,goalkeeper,41,-39
Slovenia,Sarah Wright,Gorica,goalkeeper,40,-61
Malta,Dr. Holly Gardner,Valletta,goalkeeper,49,-30
Uzbekistan,Richard Miller,Nasaf,defender,69,59
Barbados,Charles Wood,Brittons Hill,goalkeeper,57,-57
Guatemala,Michael Gutierrez,Guastatoya,forward,58,43
Bahrain,Jamie Blevins,Al-Ahli,forward,63,56
Nepal,Scott Gill,Manang Marshyangdi,midfielder,70,68
Armenia,Roberta Bridges,Urartu,forward,53,45
Sierra Leone,Levi Mcgrath,Bo Rangers,defender,49,44
Hungary,Dawn Gibson,Fehervar,defender,50,36
Monaco,Ashley George,Monaco II,goalkeeper,59,-42
South Sudan,Anthony Baldwin,Atlabara,midfielder,77,60
Vietnam,Travis Schneider,Song Lam Nghe An,forward,64,59
Djibouti,Carol Khan,AS Arta/Solar7,forward,51,76
Malawi,Adam Sanders,Silver Strikers,goalkeeper,74,-43
Angola,Miss Kara Burns MD,Sagrada Esperanca,midfielder,56,14
Belize,Taylor Ortiz,Police United,defender,64,20
Burundi,Crystal Bryant,Musongati FC,defender,50,87
China,Sergio Foster,Shanghai Shenhua,defender,51,17
Sri Lanka,Kimberly Evans,Colombo FC,forward,53,47
Sudan,Mary Smith,Al Amal Atbara,goalkeeper,69,-39
Seychelles,Alexander Cooper,Anse Reunion,forward,30,98
Timor-Leste,Sandra Kim,Sport Laulara,goalkeeper,69,-57
Madagascar,Kelly Castillo,Ajesaia,forward,54,21
Senegal,Erica Peterson,Generation Foot,forward,54,60
India,Gina Thompson,Bengaluru FC,defender,67,60
Andorra,Eric Mccullough,Inter Club d'Escaldes,midfielder,79,86
Albania,Jeffrey Cummings,Dinamo Tirana,goalkeeper,61,-32
Turkey,Andre Mcdonald,Basaksehir,goalkeeper,77,-38
Lithuania,Anthony Herrera,Suduva,midfielder,60,38
Somalia,Patricia Woods,Gaadiidka,goalkeeper,50,-62
Syria,Christopher Ramirez,Al Wahda,goalkeeper,46,-46
Algeria,Mary Shannon,JS Kabylie,forward,49,24
Mongolia,Kevin Rivera,Athletic 220,goalkeeper,59,-54
Belgium,Melissa Bond,Club Brugge,midfielder,75,48
United Arab Emirates,Pamela Michael,Al Wasl,defender,44,21
Cambodia,Daniel Davis,Soltilo Angkor,defender,81,26
Cambodia,Robert White,Phnom Penh Crown,defender,44,31
Djibouti,Olivia Guerrero,AS Ali Sabieh,midfielder,72,51
Tuvalu,Christopher Schultz,Nauti,forward,67,61
Greece,Sherri Wilson,Panathinaikos,midfielder,68,23
Namibia,Mrs. Judith Marshall,Civics,defender,66,21
France,Michele Long,Lyon,goalkeeper,58,-51
Portugal,David Walker,Sporting CP,midfielder,71,27
Marshall Islands,Paul Schwartz,Ebeye United,defender,47,37
Antigua and Barbuda,Robin Dawson,Hoppers FC,goalkeeper,49,-72
Laos,Elizabeth Watts,Master 7,midfielder,49,36
Argentina,Terry Acevedo,Independiente,forward,55,37
Jordan,Rebecca Davis,Al Salt,forward,70,87
Malta,Earl Burke,Floriana,forward,72,85
New Zealand,James Sanchez,Hamilton Wanderers,goalkeeper,44,-5
Cambodia,James Smith,Soltilo Angkor,defender,64,42
Somalia,Marie Ford,Banadir,goalkeeper,55,-7
Slovakia,Joan Bird,Slovan Bratislava,goalkeeper,47,-57
Djibouti,Jessica Ramos,FC Dikhil,midfielder,53,81
Togo,Alec Davis,Sara Sport,midfielder,47,8
Spain,Susan Carr,Atletico Madrid,midfielder,61,73
Gabon,Michael Smith,AS Pélican,forward,62,66
Czech Republic,Randy White,Banik Ostrava,goalkeeper,72,-86
Colombia,Gregory Williams,America de Cali,forward,68,83
Solomon Islands,Alisha Henderson,Kossa,defender,54,46
San Marino,Christopher Goodman,La Fiorita,midfielder,58,28
Philippines,William Mathews,Kaya-Iloilo,goalkeeper,66,-81
Bahrain,Michael Rodriguez,Al-Hidd,forward,51,68
Venezuela,Michelle Dickerson,Aragua,goalkeeper,51,-35
Suriname,Jasmine Cummings,Notch,goalkeeper,41,-1
Tuvalu,Melissa Nguyen,Manu Laeva,goalkeeper,65,-31
Namibia,Alyssa Frey,Tura Magic,midfielder,41,86
Thailand,Kimberly Hunt,Port,goalkeeper,52,-19
Lebanon,Mary Harper,Bourj,forward,52,64
Saint Vincent and the Grenadines,Frank Robinson,Sion Hill,defender,54,19
Tonga,Samantha Lopez,Kolofo'ou,midfielder,66,57
Mauritania,Amanda Nelson,ACS Ksar,defender,73,58
Cape Verde,Samantha Miller,Academica do Sal,forward,56,53
Suriname,Kimberly Keith,Transvaal,goalkeeper,73,-49
Timor-Leste,Abigail Ramirez,Boavista Timor,goalkeeper,79,-33
Sudan,Rebecca Keith,Al Hilal Omdurman,midfielder,72,49
Fiji,Erica Thomas,Navua FC,midfielder,54,10
United Arab Emirates,Crystal Dalton,Baniyas,forward,61,39
Turkmenistan,Timothy Rodriguez,Shagadam,forward,70,57
Bangladesh,Jennifer Flynn,Saif SC,defender,47,92
Portugal,Thomas Robinson,Benfica,forward,55,61
Ecuador,Michael Edwards,Delfin,forward,63,63
Hungary,Nicole Williams PhD,Fehervar,midfielder,53,63
Chad,Eddie Manning,Renaissance,forward,78,59
Kazakhstan,David Gutierrez,Astana,goalkeeper,71,-53
Grenada,Amanda Tapia,Chantimelle FC,midfielder,51,52
Kiribati,Robert Mercer,Tofaga,midfielder,68,44
Haiti,John Christensen,Cavaly,midfielder,55,21
Tanzania,Katrina Scott,Simba,midfielder,76,25
Turkey,John Jackson,Trabzonspor,midfielder,36,59
Saudi Arabia,Pamela Barnes,Al Fateh,defender,67,85
New Zealand,Charles Mahoney,Canterbury United,defender,52,85
