Country,Name,Club,Position,Games,Goals
Croatia,Marcia Nguyen,Dinamo Zagreb,midfielder,68,88
Dominica,Sarah Brown,Kubuli Strikers,defender,58,36
Ecuador,Brian Fox,Emelec,forward,67,68
Poland,Victoria Hill,Rakow Czestochowa,goalkeeper,53,-50
Poland,Timothy Bentley,Rakow Czestochowa,midfielder,57,43
Malaysia,James Morales MD,Kuala Lumpur City,goalkeeper,74,-78
Comoros,Amy Hoover,Coin Nord,forward,72,22
Lesotho,Stephen Hunter,Bantu,goalkeeper,55,-54
Denmark,Angela Garcia,Midtjylland,defender,56,66
Georgia,Taylor Haney,Dila Gori,forward,54,21
Gambia,Paula Mcintyre,Brikama United,defender,54,73
Seychelles,Matthew Ortiz,Northern Dynamo,defender,56,79
Venezuela,Michael Garner,Aragua,defender,57,63
Angola,Robert Cook,Interclube,forward,77,50
Lesotho,Helen Reeves,Bantu,defender,36,70
Liberia,Michael Mcdaniel,Invincible Eleven,defender,58,36
South Sudan,Victoria Rose,Kator,midfielder,65,37
Slovenia,Denise Goodwin,Domzale,defender,75,72
Malawi,Tina Benjamin,MAFCO,defender,66,11
Netherlands,David Hall,Twente,defender,43,49
Brunei,Jerry Hughes,Tabuan Muda,forward,74,45
Egypt,Jennifer Anderson,Zamalek,defender,75,2
Lithuania,Rachel Hill,Dziugas,forward,57,36
Liberia,Karen Curry,Invincible Eleven,forward,52,33
Togo,Jose Cruz,Gbikinti,goalkeeper,67,-75
Denmark,Michael Robinson,Brondby,midfielder,55,1
Canada,Emily Diaz,CF Montreal,goalkeeper,63,-1
Philippines,Melissa Buckley,Ceres-Negros,defender,61,57
Saint Kitts and Nevis,Joshua Hopkins,Cayon Rockets,midfielder,54,48
Turkey,Matthew Williams,Antalyaspor,defender,68,91
Nicaragua,Joshua Miller,Real Esteli,forward,55,68
Azerbaijan,Sergio Lewis,Kapaz,defender,46,89
Portugal,Kristina Gibson,Porto,goalkeeper,63,-31
Libya,April Oconnor,Al Akhdar,goalkeeper,56,-1
Netherlands,Laurie Marks,Ajax,defender,51,56
Zambia,Denise Tate,Red Arrows,midfielder,72,90
Austria,Jason Tran,Red Bull Salzburg,goalkeeper,36,-56
Costa Rica,Cynthia Martinez,Deportivo Saprissa,defender,76,54
Grenada,Lori Williams,Fontenoy United,goalkeeper,71,-70
Serbia,Clinton Wilson,Mladost Lucani,forward,83,42
Qatar,Eric Gibbs,Al Gharafa,midfielder,46,31
Marshall Islands,Michael Morgan,Jaluit FC,midfielder,73,29
Brunei,Steve Duncan,MS ABDB,midfielder,44,57
Azerbaijan,Marc Smith,Qarabag,goalkeeper,52,-46
Honduras,Francisco Harvey,Real España,defender,62,68
Togo,Robin Sullivan,Dynamic Togolais,goalkeeper,70,-53
Luxembourg,Heidi Perry,Progres Niederkorn,forward,50,36
Uganda,Hannah Wilkinson,KCCA,forward,65,25
Eswatini,William Barrera,Young Buffaloes,goalkeeper,54,-28
Micronesia,Jennifer Padilla,Chuuk,defender,65,1
Mozambique,Amy Wheeler,UD Songo,midfielder,53,9
Ukraine,Andrew Velez MD,Dnipro-1,midfielder,59,40
Cyprus,Amy Romero,AEL Limassol,defender,51,22
Turkmenistan,Jason Hawkins,Altyn Asyr,forward,74,84
Austria,Mark Burton,Sturm Graz,goalkeeper,81,-54
Austria,Rebecca Hall,Rapid Wien,goalkeeper,63,-52
Cape Verde,Julie Perry,CS Mindelense,midfielder,64,70
Iran,Gary Ashley,Mes Rafsanjan,goalkeeper,49,-10
Hungary,Danielle Hernandez,Ujpest,defender,69,18
Hungary,Kayla Harris,Ujpest,defender,85,8
Iceland,Elizabeth Fischer,KR Reykjavik,forward,64,75
Finland,Jennifer Mckee,Ilves,defender,50,55
Nigeria,Rebecca Green,Plateau United,goalkeeper,51,-28
Honduras,Scott King,Marathon,midfielder,62,42
India,Kevin Zimmerman,Kerala Blasters,forward,49,33
Romania,Matthew Johnson,Rapid Bucuresti,goalkeeper,61,-51
Austria,Misty Jones,WSG Tirol,goalkeeper,56,-108
Senegal,Brian Contreras,US Goree,defender,68,51
Monaco,Jason Shepherd,Jeunesse d'Antibes,goalkeeper,62,-81
Malaysia,Tracy Baldwin DDS,Sabah,forward,35,53
Micronesia,Maria Bush,Yap,goalkeeper,66,-71
Botswana,Nathaniel Davis,Mochudi Centre Chiefs,midfielder,79,52
Bahrain,George Murphy,Al-Hidd,defender,50,29
Belgium,Taylor Ortega,Genk,forward,58,51
Iran,Cameron Bruce,Tractor,goalkeeper,51,-57
Kiribati,Jesus Gregory,Tarawa,forward,51,22
Brazil,Jason Coleman,Sao Paulo,forward,58,54
Trinidad and Tobago,Kelli Medina,W Connection,defender,51,23
Seychelles,Tommy Berry,Light Stars,forward,73,77
Comoros,Kenneth Warren,Etoile d'Or,defender,60,49
Mauritania,Amy Crawford,Nouakchott Kings,midfielder,54,43
Mexico,Teresa Chaney,Leon,midfielder,56,94
Pakistan,Matthew Ruiz,Sui Southern Gas,defender,53,43
Pakistan,Mr. Keith Cox MD,Sui Southern Gas,midfielder,69,22
Ireland,Theresa Mcdonald,Sligo Rovers,goalkeeper,52,-36
Tanzania,Selena Waller,Kagera Sugar,forward,56,35
United Kingdom,Susan Franklin,Manchester United,defender,69,47
Hungary,James Lane,Debrecen,forward,57,54
Japan,Kathryn Burns,Nagoya Grampus,midfielder,63,57
Brunei,Kristen Garcia DVM,Indera SC,forward,67,53
Luxembourg,John Richardson,Swift Hesperange,goalkeeper,74,-29
Ireland,Tyler Briggs,St Patrick's Athletic,midfielder,59,66
Brazil,David Johnson,Palmeiras,goalkeeper,47,-60
Malawi,Kimberly Green,Red Lions,midfielder,41,60
Australia,Lori Berry,Melbourne Victory,defender,78,26
Djibouti,Tina Robinson,AS Arta/Solar7,goalkeeper,54,-1
Thailand,Dave Benitez,Chonburi,midfielder,60,69
Oman,Joseph Chandler,Al Nahda,defender,58,64
Italy,Steven Mendoza,Lazio,goalkeeper,79,-63
Cambodia,Edward Lane,Soltilo Angkor,goalkeeper,52,-69
Panama,Kimberly Lee,Tauro,defender,44,57
Timor-Leste,Zachary Welch,FC Lalenok United,goalkeeper,56,-22
Burkina Faso,Teresa Mccoy,ASFA Yennega,midfielder,86,53
Equatorial Guinea,Dean Miles MD,Deportivo Unidad,defender,65,53
Kyrgyzstan,Justin Archer,Abdysh-Ata,forward,50,70
Sierra Leone,Sarah Shaffer,Kallon,midfielder,61,40
Zimbabwe,Rachel Miller,FC Platinum,midfielder,53,88
Myanmar,Teresa Martin,Rakhine United,goalkeeper,46,-65
Solomon Islands,Jordan Ayala,Marist,defender,38,69
Liechtenstein,Scott Mueller,Ruggell,goalkeeper,70,-21
Laos,James Clayton,Lao Toyota,goalkeeper,56,-74
Malawi,Aaron Haas,Nyasa Big Bullets,defender,57,36
Ukraine,Kevin Hernandez,Rukh Lviv,midfielder,40,46
Lebanon,Karen Taylor,Nejmeh,forward,56,48
Croatia,Brett Todd,Rijeka,forward,55,31
Poland,Aaron Wright,Lechia Gdansk,forward,59,24
Timor-Leste,Julie Lyons,Boavista Timor,forward,81,10
Mongolia,Marc Martinez,Khoromkhon,defender,70,48
Ireland,Brenda Jones,Bohemians,goalkeeper,70,-77
Austria,Michael Pham,LASK,forward,86,45
Saudi Arabia,Rebekah Payne,Al Shabab,forward,61,13
Luxembourg,Ronald Davis,Progres Niederkorn,forward,53,66
Dominican Republic,Chris Garner,Jarabacoa FC,goalkeeper,43,-36
Liechtenstein,Sherri Jones,Triesenberg,midfielder,62,59
China,Kyle Wilson,Guangzhou FC,forward,59,58
Canada,Benjamin Joyce,Valour FC,defender,54,38
Guinea,Corey Thompson,Satellite FC,defender,52,46
Senegal,Matthew Hammond,Jaraaf,defender,62,43
Serbia,Lisa Andrews,Cukaricki,defender,56,60
Venezuela,Lisa Brown,Deportivo La Guaira,defender,48,63
Argentina,Daniel Ramirez,Boca Juniors,defender,68,26
Yemen,Michael Woods,Al Saqr,defender,57,68
Latvia,Elizabeth Tucker,Metta,defender,76,89
North Macedonia,Paul Tate,Shkendija,goalkeeper,51,-81
Greece,Stephen Adams,PAOK,defender,52,43
Turkmenistan,Dylan Dudley,Altyn Asyr,goalkeeper,56,-53
Rwanda,Lauren Bailey,APR,midfielder,54,15
Nicaragua,Dana Smith,Diriangen,forward,73,35
Myanmar,Lindsey Beltran,Hanthawaddy United,defender,71,15
Algeria,Aaron Wagner,CR Belouizdad,goalkeeper,53,-58
Ghana,Michael Davis,Great Olympics,goalkeeper,48,-37
India,Hannah Rodriguez,Hyderabad FC,midfielder,57,90
Cape Verde,Joshua Thomas,Fogo 1876,defender,50,74
Belize,Joseph Greer,Belmopan Bandits,defender,54,17
Kyrgyzstan,Keith Anderson,Alga Bishkek,forward,67,54
Togo,Abigail Cobb,Kotoko,goalkeeper,72,-73
Cambodia,Kelly Garcia,Phnom Penh Crown,goalkeeper,68,-55
Romania,Brittany Jones,UTA Arad,midfielder,62,39
Bahamas,Joshua Lane,Dynamos FC,forward,65,74
Malawi,Lawrence Combs,Nyasa Big Bullets,defender,48,42
Senegal,Zachary Lindsey,Teungueth,forward,78,28
Niger,James Boyd,AS GNN,goalkeeper,54,-17
Ukraine,Jordan Davenport,Rukh Lviv,defender,49,39
Morocco,Bridget Smith,Hassania Agadir,forward,62,80
Pakistan,Derek White,WAPDA,goalkeeper,66,-49
Saudi Arabia,William Gonzalez,Al Taawoun,defender,52,66
Namibia,Kevin Wells,Civics,midfielder,55,25
Uganda,Lawrence Jones,Onduparaka,defender,62,49
Tanzania,Xavier Young,Simba,defender,60,49
Nauru,Chad Mcguire,Aiwo,midfielder,58,82
Nicaragua,William Warner,ART Municipal Jalapa,forward,71,78
Georgia,Ashley King,Dinamo Tbilisi,goalkeeper,48,-33
Malawi,Douglas Evans,Silver Strikers,forward,75,65
Togo,Anthony Thomas,Dynamic Togolais,midfielder,75,35
