Country,Name,Club,Position,Games,Goals
Mali,Stacey Sanchez,Real Bamako,goalkeeper,82,-30
Nepal,Mark Washington,Machhindra,midfielder,52,54
Vanuatu,Francisco Holmes,Erakor Golden Star,defender,64,24
Israel,Carlos Baker,Beitar Jerusalem,defender,68,35
Israel,Stacy Baker,Maccabi Netanya,goalkeeper,51,-55
Antigua and Barbuda,Brooke Johnson,Parham FC,midfielder,59,61
Myanmar,Maria Phillips,Shan United,forward,68,77
South Sudan,Tamara Armstrong,Kator,goalkeeper,54,-117
Israel,Jacqueline Velasquez,Maccabi Haifa,midfielder,55,64
Moldova,Mark Blevins,Petrocub,forward,40,71
Afghanistan,Jennifer Bass,Simorgh Alborz,goalkeeper,69,-29
Uruguay,Brandon Alvarez,Danubio,forward,56,12
Russia,Teresa Olsen,Spartak Moscow,midfielder,65,84
Eswatini,Emily Grant,Young Buffaloes,goalkeeper,72,-46
Central African Republic,Kimberly Perez,Sica Sport,goalkeeper,78,-57
Central African Republic,Amanda Kirby,ASDR,defender,50,63
Egypt,Andrea Juarez,Zamalek,defender,66,68
Belgium,Rachael Orozco,Standard Liege,midfielder,58,46
Oman,Mitchell Vang,Al Nahda,goalkeeper,50,-49
Moldova,Jordan Rodriguez,Sfintul Gheorghe,defender,54,18
Canada,Bryce Giles,Pacific FC,forward,49,80
Slovakia,Vanessa Frost,Trencin,forward,83,18
Antigua and Barbuda,Heather Hernandez,Liberta FC,forward,58,36
Vietnam,Carlos Esparza,Nam Dinh,defender,52,35
Mexico,Kathy Oconnell,Leon,midfielder,53,51
Micronesia,Megan Thompson,Yap,forward,27,79
Poland,Christopher Trevino,Piast Gliwice,forward,52,32
Norway,Jack Lozano,Brann,forward,53,1
Lebanon,Caitlin Baird,Al Ahed,midfielder,47,47
Canada,Jeffery Klein,Vancouver Whitecaps,forward,48,58
Fiji,Alex Short,Lautoka FC,midfielder,52,56
Burundi,Marissa Brown,Flambeau du Centre,forward,54,41
Niger,Ruth Powell,Douanes,midfielder,41,83
Lesotho,Lindsay Wyatt,Lioli,goalkeeper,67,-55
Liechtenstein,John Finley,Vaduz,goalkeeper,76,-55
Sierra Leone,Kathleen Singleton,East End Lions,midfielder,36,34
Cyprus,Anthony Dorsey,Pafos FC,forward,65,67
Bolivia,Patrick Stevens,Oriente Petrolero,midfielder,78,43
Somalia,Angela Nash,Banaadir Telecom,forward,65,22
Bahrain,Jennifer Flores,East Riffa,forward,44,34
Kuwait,Amanda Howard,Al Kuwait,forward,64,56
Zambia,Amber Foster,Red Arrows,midfielder,69,68
South Africa,Jacob Michael,Cape Town City,defender,66,32
Lithuania,Eric Knox,Riteriai,defender,70,25
Ecuador,Tammy Beard,LDU Quito,midfielder,59,54
Indonesia,David Williams,Persija Jakarta,defender,53,83
Marshall Islands,Victoria Schwartz,Laura FC,defender,66,6
Belgium,Michael Boyd,Anderlecht,goalkeeper,75,-47
Jamaica,Margaret Crane MD,Waterhouse,goalkeeper,56,-57
Kiribati,Judy Long,Tofaga,midfielder,75,88
Italy,Ricardo Rhodes,Lazio,forward,47,51
Azerbaijan,Kathleen Davis,Qarabag,midfielder,68,54
Denmark,Todd Phillips,Aarhus GF,goalkeeper,48,-62
Thailand,Richard Evans,BG Pathum United,goalkeeper,51,-47
Micronesia,Brittney Gardner,Kosrae,midfielder,56,48
Papua New Guinea,John Hanna,Morobe Wawens,forward,68,22
Rwanda,Kenneth Harrington,Bugesera,goalkeeper,42,-70
Somalia,Brianna Roberts,Horseed,midfielder,55,1
Senegal,Jennifer Allen,US Goree,goalkeeper,59,-70
Iceland,Eddie Moore,Vikingur Reykjavik,forward,58,6
Estonia,Scott Hall,Tammeka Tartu,defender,38,49
Djibouti,Jennifer Adams,Equipe Nationale,goalkeeper,81,-50
Uruguay,Mr. Christopher Solomon,Danubio,defender,51,75
Switzerland,Jose Baxter,St. Gallen,midfielder,45,85
Burundi,David Castro,Kayanza United,goalkeeper,73,-37
Guatemala,Katherine Campos,Guastatoya,forward,65,107
Colombia,Patricia Andrews,Santa Fe,goalkeeper,80,-64
Belize,Teresa Jackson,Wagiya FC,defender,46,78
Fiji,James Pacheco,Rewa FC,defender,62,3
Korea (North),Katie Ross,Hwaebul,midfielder,61,65
Congo,Melvin Hawkins,CARA Brazzaville,forward,41,43
China,Dr. James Ortiz MD,Shandong Taishan,defender,48,29
South Sudan,Michelle Wright,Al Salam Wau,midfielder,45,86
North Macedonia,Elizabeth Cook,Shkendija,forward,58,66
Madagascar,Melanie Smith,Tia Kitra,forward,57,94
Maldives,Jeffrey Davidson,Valencia,forward,58,81
Thailand,Matthew Moore,Nakhon Ratchasima,forward,63,71
