Country,Name,Club,Position,Games,Goals
Chile,Katelyn Taylor,Audax Italiano,goalkeeper,51,-48
Czech Republic,Pamela Huynh,Jablonec,forward,58,16
Montenegro,Rebecca Rivera,Mornar,defender,52,20
Chile,Jenna Hill,Universidad de Chile,defender,69,32
Nigeria,James Smith,Rivers United,forward,50,57
Croatia,Devon Powell,Osijek,midfielder,47,64
Ghana,Alexander King,Bechem United,midfielder,76,56
Timor-Leste,Larry Jennings,Boavista Timor,midfielder,68,64
Bangladesh,Phillip Rogers,Abahani Dhaka,goalkeeper,76,-39
Benin,Donald Lewis,Ayema FC,goalkeeper,56,-28
Brunei,Douglas Reid,DPMM FC,goalkeeper,52,-31
United Kingdom,Brooke Griffith,Tottenham,goalkeeper,59,-62
India,Barry Hill,Jamshedpur FC,defender,68,64
Guinea-Bissau,Brianna Davis,Benfica Bissau,forward,43,72
Lithuania,Patrick Johnson,Riteriai,midfielder,46,48
Niger,Karen Rogers,AS GNN,defender,66,85
Italy,Michael Mcfarland,Napoli,goalkeeper,60,-27
Korea (South),Kimberly Sanchez,Suwon Bluewings,forward,64,70
North Macedonia,Pam Eaton,Sileks,forward,71,67
Burkina Faso,Javier Garcia,RC Bobo,goalkeeper,54,-25
Spain,Samantha Jordan,Valencia,forward,58,40
Sierra Leone,Amy White,Ports Authority,forward,59,47
Morocco,Tracy Bradley,AS FAR,midfielder,69,20
Moldova,Anita Sexton,Milsami,forward,62,77
Yemen,Catherine Ortiz,Al Saqr,forward,65,57
Morocco,Susan Johnson,Raja Casablanca,goalkeeper,57,-41
El Salvador,Molly Wright,FAS,goalkeeper,68,-51
Philippines,Cynthia Martinez,United City,forward,50,54
Solomon Islands,Jessica Vasquez,Marist,forward,69,32
Vietnam,Sarah Marshall,Song Lam Nghe An,midfielder,57,19
New Zealand,Eric Martinez,Hawke's Bay United,goalkeeper,75,-39
Iceland,William Kerr II,Vikingur Reykjavik,defender,59,62
Croatia,Nicole Rios,Hajduk Split,forward,32,85
Guatemala,Amanda Moore,Antigua GFC,goalkeeper,51,-68
Madagascar,Julie Adams MD,Ajesaia,forward,61,52
South Africa,Christina Flores,Kaizer Chiefs,forward,62,60
Spain,Edwin Walters,Sevilla,midfielder,56,46
Angola,George Edwards,Kabuscorp,defender,44,17
China,Ana Meyers,Tianjin Jinmen Tiger,defender,38,92
Sudan,David Chavez,Al Shorta,defender,59,34
Croatia,Martha Brown,Rijeka,goalkeeper,56,-18
Belarus,Danny Hughes,Torpedo Zhodino,forward,46,40
Iraq,Timothy Reyes,Al Minaa,forward,76,41
Maldives,Lisa Weeks,Club Eagles,goalkeeper,50,-27
Kuwait,Linda Green,Kazma,goalkeeper,46,-19
Moldova,Dr. Mary Burke,Dacia-Buiucani,forward,44,52
Guyana,Debra Williams,GDF,forward,45,52
Guinea-Bissau,Vickie Henderson,Estrela Negra,midfielder,53,36
Philippines,Erin Hayes,Stallion Laguna,goalkeeper,65,-42
Slovakia,Carl Novak,Slovan Bratislava,defender,65,39
Germany,Caitlin Palmer,RB Leipzig,goalkeeper,44,-87
Belarus,Alexandria Bennett,Neman Grodno,midfielder,49,41
France,Mike Hill,Monaco,forward,45,24
Venezuela,Daniel Nichols,Deportivo Tachira,goalkeeper,38,-24
Qatar,Victor Brown,Al Wakrah,midfielder,62,53
Sierra Leone,Patricia Jones,FC Johansen,forward,38,24
Kazakhstan,Kevin Dickerson,Ordabasy,defender,78,86
Niger,Lauren Meza,AS GNN,defender,64,65
Italy,Rodney Bradshaw,AC Milan,midfielder,76,1
Kuwait,Dr. Michael Brown,Al Jahra,goalkeeper,49,-58
Nauru,Kimberly Townsend,Anetan,midfielder,64,40
Korea (South),Erica Perry,Ulsan Hyundai,goalkeeper,52,-55
Cameroon,Dr. Debra Allen,Union Douala,goalkeeper,60,-41
Kuwait,Michelle Wolfe,Al Qadsia,forward,52,10
Saudi Arabia,Cassidy Fisher,Al Ittihad,defender,56,55
Sudan,Austin Jimenez,Al Merreikh,forward,52,51
Niger,Chelsea Stephenson,ASFAN,goalkeeper,80,-87
Dominica,Tracie White,Exodus FC,goalkeeper,59,-32
Montenegro,Daniel Tapia,Sutjeska,midfielder,67,86
Albania,Nathaniel Williams,Skenderbeu,defender,72,60
Mexico,Sara Brown,Cruz Azul,goalkeeper,66,-45
Sri Lanka,Lisa Yates MD,Solid,midfielder,49,39
Uganda,Dan Evans,KCCA,forward,43,7
Belarus,Kenneth Burton,Shakhtyor Soligorsk,goalkeeper,52,-19
