Country,Name,Club,Position,Games,Goals
Serbia,Ashley Meyer,Partizan,forward,61,58
Uganda,Brandon Wilson,BUL,midfielder,51,54
Timor-Leste,Alex Moore,Sport Laulara,midfielder,60,19
Kazakhstan,Jessica Watson,Shakhter Karagandy,defender,62,75
Nauru,Daniel Evans,Anetan,defender,62,65
Samoa,Rachel Richards,Kiwi FC,midfielder,57,82
Barbados,Mark Jimenez,Silver Sands,defender,43,29
Angola,David Smith,Academica do Lobito,forward,67,80
Estonia,Yolanda Thompson,Nomme Kalju,goalkeeper,64,-91
Belarus,Lisa Martinez,Neman Grodno,midfielder,74,84
Yemen,Damon Snyder,Al Wahda Aden,defender,59,47
Malta,Jordan Murillo,Valletta,forward,45,29
Syria,Alexandria Williams,Al Futowa,midfielder,47,44
Bulgaria,Jason Cabrera,CSKA Sofia,defender,60,84
Bangladesh,Blake Smith,Mohammedan SC,goalkeeper,46,-40
Laos,Anthony Peterson,Young Elephants,defender,61,1
Uganda,Geoffrey Smith,URA,goalkeeper,46,-30
New Zealand,William Arroyo,Eastern Suburbs,forward,76,45
Lesotho,Jason Hernandez,Matlama,defender,70,96
Liechtenstein,Bruce Hansen,Vaduz,defender,56,28
Sudan,Shawn Vasquez,Al Hilal Omdurman,forward,74,69
Tonga,Mary Stuart,Kolofo'ou,goalkeeper,71,-25
Monaco,Stephanie York,Fontvieille,forward,63,76
Romania,Kaitlyn Moore DVM,Sepsi,goalkeeper,66,-65
Antigua and Barbuda,Charles Black,Hoppers FC,goalkeeper,48,-52
Morocco,Shelby Garcia,AS FAR,goalkeeper,77,-41
Chad,Susan Pruitt,Foullah Edifice,midfielder,58,54
Nicaragua,Linda Simon,Juventus Managua,defender,60,32
Nepal,Monique Cooper,Sankata,goalkeeper,66,-1
Venezuela,Theresa Evans,Deportivo Tachira,defender,65,80
Mongolia,Mrs. Alexandria Eaton DDS,Khoromkhon,defender,50,56
Bahrain,Brett Lawrence,Al-Ahli,midfielder,53,1
Haiti,Oscar May,FICA,goalkeeper,61,-69
Syria,Andrea Morales,Al Wahda,goalkeeper,72,-57
