Country,Name,Club,Position,Games,Goals
Kenya,Richard Bowman,Bandari,defender,67,50
Bahamas,Deborah Owen,Cavalier FC,goalkeeper,55,-82
Bahamas,Joy Campbell,Dynamos FC,midfielder,64,45
Bulgaria,Don Petty,Ludogorets,goalkeeper,70,-76
Senegal,Harold Wood,Teungueth,goalkeeper,70,-65
Gabon,Tiffany Johnson,AS Mangasport,forward,59,87
Vanuatu,Jose Anderson,Mauwia,forward,44,26
Andorra,Ashley Johnson,Inter Club d'Escaldes,defender,45,53
North Macedonia,Natasha Logan,Struga,midfielder,53,69
Mongolia,Phyllis Freeman,Khangui,forward,42,67
Guinea-Bissau,Joseph Raymond,Os Balantas,forward,63,31
Liechtenstein,Seth Taylor,Balzers,forward,41,87
Qatar,Morgan Pearson,Al Arabi,defender,59,5
Slovakia,Robert Schmidt,Slovan Bratislava,defender,84,33
Bosnia and Herzegovina,Michael Brooks,Radnik Bijeljina,goalkeeper,78,-58
Australia,Allison Roberson,Adelaide United,midfielder,45,42
Jamaica,Lynn Torres,Waterhouse,goalkeeper,81,-12
Kenya,Kelly Dougherty,AFC Leopards,defender,41,17
Brunei,Emily Knight,Wijaya FC,goalkeeper,84,-27
Cambodia,Keith Cooper,Kirivong Sok Sen Chey,forward,83,54
Malawi,Sandra Whitaker,Nyasa Big Bullets,forward,64,68
Chad,Lori Hall,AS CotonTchad,midfielder,59,32
Burundi,Stephanie Gutierrez,Vital'O,goalkeeper,53,-29
Netherlands,Nathaniel Gonzalez,FC Utrecht,goalkeeper,45,-67
Latvia,Matthew Rubio,Liepaja,defender,82,88
Madagascar,Lisa Williams,ASJ Analamanga,goalkeeper,60,-66
Cameroon,Jennifer Newton,Canon Yaounde,goalkeeper,58,-46
Malaysia,Steven Wagner,Terengganu,forward,51,57
United Arab Emirates,George Harris,Al Ain,defender,77,55
Andorra,William Ruiz,Inter Club d'Escaldes,defender,73,35
Gambia,Emma Ray,Fortune FC,defender,51,50
Ethiopia,Tamara Clayton,Wolaitta Dicha,goalkeeper,75,-14
