Country,Name,Club,Position,Games,Goals
Somalia,Debra Diaz,Elman FC,forward,49,52
Tanzania,Richard Rose,Azam,midfielder,65,82
Slovenia,Sheri Wilson,Maribor,goalkeeper,42,-40
Venezuela,Mr. Nicholas Herrera,Mineros de Guayana,forward,57,26
Micronesia,Philip Duncan,Pohnpei,forward,76,60
China,Shawn Maxwell,Shanghai Port,defender,55,63
North Macedonia,Nichole Lewis,Shkendija,forward,71,60
Malawi,Amanda Levy,Blue Eagles,midfielder,70,34
Algeria,Heidi Thomas,CR Belouizdad,midfielder,58,61
New Zealand,William Harmon,Waitakere United,midfielder,55,50
Cuba,Steven Reeves,FC Cienfuegos,defender,51,32
Madagascar,Kara Joyce,Tia Kitra,goalkeeper,67,-48
Paraguay,Andrew Salazar,Guarani,midfielder,51,64
Grenada,Joel Miller,Queens Park Rangers,forward,59,32
Turkmenistan,Michele Patton,Energetik,defender,45,55
Jordan,Christine Higgins,Al Jazeera,forward,48,92
Albania,Jennifer Suarez,Dinamo Tirana,forward,68,69
Sudan,Whitney Wilson,Al Merreikh,goalkeeper,47,-96
Madagascar,Cynthia Hanson,CNaPS Sport,midfielder,69,28
Malawi,Bethany Parker,Mighty Wanderers,defender,60,62
Jamaica,Nancy Mcdonald,Harbour View,midfielder,50,77
Qatar,Benjamin Cook,Qatar SC,forward,69,69
Latvia,Katherine Figueroa,Liepaja,midfielder,47,60
Trinidad and Tobago,Crystal Perkins,Defence Force,forward,63,42
United States,Nathan Kim,LAFC,goalkeeper,71,-50
Somalia,Diana Mclaughlin,Horseed,forward,54,63
Madagascar,Shelby Jones,Ajesaia,forward,58,87
Nepal,Anthony Hernandez,Manang Marshyangdi,defender,50,44
Syria,Tyler Barker,Tishreen,midfielder,49,55
Korea (North),Denise Smith,Amrokgang,goalkeeper,70,-34
Zambia,Bryan Rodriguez III,Power Dynamos,goalkeeper,54,-27
Belize,Ian Martinez,Placencia Assassins,defender,36,54
Kenya,Krystal Cox,Ulinzi Stars,midfielder,43,26
Mozambique,Caleb Gallegos,Ferroviario Nampula,goalkeeper,72,-55
Uruguay,Nicole Rhodes,Montevideo Wanderers,defender,94,32
Estonia,Andrew Rice,Nomme Kalju,goalkeeper,68,-62
Mauritius,Aaron Hernandez,Flacq United,goalkeeper,67,-37
Guinea-Bissau,Troy Mclaughlin,Benfica Bissau,defender,40,52
Serbia,Brenda Carter,Mladost Lucani,goalkeeper,51,-53
Angola,Elizabeth Vega,Kabuscorp,defender,66,69
Uganda,James Bray,SC Villa,goalkeeper,50,-20
Bulgaria,Stephanie Cisneros,Cherno More,midfielder,82,59
Mauritania,Joseph Hill,ASAC Concorde,midfielder,42,79
Bahrain,Margaret Parsons,Al-Riffa,goalkeeper,73,-32
Slovenia,Amanda Price,Koper,forward,59,30
Sri Lanka,Thomas Huang,Solid,forward,82,42
Paraguay,Michael Garcia,Olimpia,goalkeeper,85,-42
Papua New Guinea,Gregory Richardson,Star Mountain,goalkeeper,65,-21
Chile,Anna Adams,Universidad de Chile,forward,57,79
Uzbekistan,Kristi Thomas,Lokomotiv Tashkent,goalkeeper,79,-51
Germany,Rachel Bright,Bayern Munich,defender,75,55
Kuwait,Adam Russell,Al Salmiya,goalkeeper,68,-36
Bhutan,James Downs,Ugyen Academy,midfielder,49,67
Brazil,Michelle Stewart,Flamengo,goalkeeper,63,-83
El Salvador,Christina Heath,Alianza,defender,59,70
Yemen,David Lewis,Al Wehda Sanaa,goalkeeper,49,-58
Madagascar,Shawn Hall,ASJ Analamanga,defender,48,64
Comoros,Nathan Smith,Steal Nouvel,goalkeeper,84,-73
Switzerland,Dustin Fisher,Luzern,forward,60,31
Malta,Emily Rice,Hamrun Spartans,defender,45,52
Ukraine,Amy Snyder,Dnipro-1,goalkeeper,62,-45
Gambia,Evelyn Martinez MD,Brikama United,forward,59,41
Papua New Guinea,Lori Sosa,Lae City,midfielder,51,12
Eswatini,Miranda Sexton,Manzini Wanderers,midfielder,64,61
Solomon Islands,James Cabrera,Real Kakamora,defender,62,68
Mauritius,Joseph Miranda,Flacq United,goalkeeper,82,-108
Albania,Steven Larsen,Skenderbeu,forward,52,39
Jamaica,Shawn Walker,Tivoli Gardens,defender,55,36
Timor-Leste,Mark Scott,Boavista Timor,midfielder,51,112
Suriname,Jason Johnson,Leo Victor,forward,65,51
Peru,Derek Vargas,Melgar,goalkeeper,60,-42
Burkina Faso,Benjamin Jackson,Rahimo FC,midfielder,45,47
Slovenia,Steven Simpson,Maribor,defender,60,29
Belarus,Madison Ali,Neman Grodno,midfielder,45,22
Austria,Cynthia Brady,LASK,forward,57,62
