Country,Name,Club,Position,Games,Goals
Algeria,Stephanie Sanders,MC Alger,forward,54,47
Mexico,Caleb Clark,Cruz Azul,midfielder,50,40
Belarus,Mr. Travis Mays,Torpedo Zhodino,defender,43,52
Zimbabwe,Jennifer Mueller,Bulawayo Chiefs,forward,80,91
Iraq,Dr. Victoria Ellis MD,Al Zawraa,goalkeeper,61,-23
Yemen,Tamara Martin,Al Oruba,defender,66,62
Sierra Leone,Daniel Evans,Old Edwardians,forward,64,73
South Sudan,Andrew Brown,Al Rabita Juba,goalkeeper,55,-73
Kazakhstan,Alex Garcia,Tobol,midfielder,73,10
Israel,Eric Smith,Maccabi Tel Aviv,goalkeeper,72,-29
Estonia,Rebecca Moore,Narva Trans,forward,55,72
Suriname,April Vance,Transvaal,midfielder,35,33
Australia,Sally Burton,Adelaide United,midfielder,93,25
Burkina Faso,Carlos Smith,ASFA Yennega,midfielder,56,45
Seychelles,William Taylor,Anse Reunion,midfielder,62,31
Libya,Dr. Shannon Ramirez MD,Al Ittihad,defender,63,28
Denmark,Miranda Kelly,Brondby,defender,60,59
Timor-Leste,Eric Gallagher,DIT FC,midfielder,69,26
Maldives,Juan Jones,Maziya,goalkeeper,67,-27
Moldova,Barry Delgado,Sheriff Tiraspol,goalkeeper,64,-59
Marshall Islands,Donald Sims,Arno FC,forward,55,47
Guyana,Shane Perez,Ann's Grove United,goalkeeper,64,-59
San Marino,Maria Allison,Tre Penne,forward,68,33
Australia,Daniel Hill,Melbourne City,midfielder,49,23
Serbia,Jose Howard,Vojvodina,forward,69,72
Timor-Leste,Christine Green,FC Lalenok United,goalkeeper,71,-80
Ethiopia,Daniel Chandler,Adama City,goalkeeper,60,-39
Poland,Juan Owens,Rakow Czestochowa,defender,68,74
Lithuania,Kimberly Lopez,Banga,defender,60,68
Botswana,Julie Lucas,Extension Gunners,goalkeeper,54,-14
Honduras,Kathleen Walton,UPNFM,midfielder,60,40
Guatemala,Michael Hubbard,Guastatoya,defender,79,65
Spain,William Houston,Real Madrid,forward,56,33
Marshall Islands,Dennis Mitchell,Laura FC,midfielder,50,23
Liberia,Amanda Williams,Monrovia Club Breweries,midfielder,59,39
Turkmenistan,Kayla Brock,Kopetdag,goalkeeper,74,-51
Myanmar,Benjamin Cox,Hanthawaddy United,defender,79,83
United Arab Emirates,Emily Franco,Shabab Al Ahli,forward,44,67
Panama,Brittany Pena,Arabe Unido,defender,51,30
Congo,Jeffrey Strong,CARA Brazzaville,midfielder,63,60
Congo,Molly Torres,Etoile du Congo,defender,50,60
Sierra Leone,Amber Lopez,FC Johansen,midfielder,43,81
Argentina,Alice Moore,Racing Club,midfielder,53,24
Cape Verde,Stephen Ramos,Batuque FC,midfielder,65,1
Montenegro,Christopher Long,Sutjeska,goalkeeper,63,-30
Nepal,John Delacruz,Friends Club,defender,78,63
Guyana,Alisha Stephens,Fruta Conquerors,defender,71,55
