Country,Name,Club,Position,Games,Goals
Ecuador,Carol Hall,Independiente del Valle,midfielder,63,16
Myanmar,Eric Mcconnell,Yangon United,goalkeeper,56,-42
Sudan,Kevin Hughes Jr.,Hay Al Wadi,midfielder,72,58
Canada,Brett Garner,Pacific FC,goalkeeper,66,-25
Djibouti,Robert Grant,AS Port,midfielder,61,78
Ethiopia,James Reid,Bahir Dar Kenema,defender,47,59
Comoros,Joshua Williams,Etoile d'Or,goalkeeper,51,-51
Vanuatu,Jason Kennedy,Amicale,forward,59,53
Samoa,Elijah Medina,Togafuafua,forward,60,78
Kenya,Sara Hoffman,Ulinzi Stars,defender,45,31
Dominican Republic,Collin Ramirez,Moca FC,forward,37,86
Ireland,Melissa Rubio,Derry City,midfielder,65,52
Gabon,Michael Perez,AS Pélican,defender,50,72
Mongolia,Sherry Galloway,Ulaanbaatar,defender,49,42
Comoros,Kathleen Berry,US Zilimadjou,defender,65,64
Korea (South),Kathryn Gallagher,FC Seoul,forward,59,56
Chile,Benjamin Thomas,Huachipato,midfielder,44,77
Philippines,Joshua Hicks,Kaya-Iloilo,midfielder,35,33
Turkey,Tammy Simpson,Galatasaray,midfielder,50,48
Italy,Ethan Miller,Napoli,defender,63,55
Solomon Islands,Diana Hobbs,Solomon Warriors,goalkeeper,45,-1
Malaysia,Rachel Jacobson,Terengganu,midfielder,55,45
Eswatini,Caitlin Jackson,Green Mamba,forward,57,29
Mali,David Hanson Jr.,Djoliba,defender,67,64
Egypt,Laurie Wilson,Ismaily,goalkeeper,37,-70
Burundi,Theresa Castro,Olympic Star,defender,62,58
Australia,Christina Crawford,Adelaide United,midfielder,45,66
Suriname,Alyssa Payne,Robinhood,goalkeeper,67,-64
Serbia,Christina Potts,Vojvodina,goalkeeper,61,-7
Portugal,Charles Avery,Vitoria Guimaraes,forward,46,48
Moldova,David Gay,Dinamo-Auto,forward,58,41
Greece,Jasmine Foster,PAOK,forward,61,25
Paraguay,Tammy Valenzuela,Nacional,goalkeeper,72,-81
Sierra Leone,Heather Tucker,Mighty Blackpool,defender,64,45
Seychelles,Eric Holmes,Foresters,goalkeeper,52,-25
Bosnia and Herzegovina,Alison Gomez,Radnik Bijeljina,midfielder,48,71
Vietnam,Brandi Wright,Hai Phong,forward,49,1
Tajikistan,Aaron Wagner,Ravshan,forward,62,42
Tuvalu,Dr. Megan Rogers,Manu Laeva,forward,66,37
Nicaragua,Luis Jones,Diriangen,forward,70,9
Kenya,Kelly White,Sofapaka,forward,63,47
Romania,Jeffrey Gordon,CFR Cluj,defender,58,48
France,Nicholas Mata,Marseille,defender,57,87
Kiribati,Raven Davis,Bairiki,goalkeeper,60,-19
Vanuatu,Christian Hendrix,Seveners United,defender,62,108
Solomon Islands,Maria Decker,Central Coast,defender,62,1
South Africa,Kenneth Young,AmaZulu,defender,57,51
Syria,Derek Owen,Al Wahda,midfielder,66,28
Guatemala,Adam Anderson,Comunicaciones,goalkeeper,50,-50
Nepal,Amanda Delgado,Nepal Police Club,midfielder,58,4
Lithuania,Lisa Smith,Dziugas,goalkeeper,57,-54
Serbia,Adam Green,Mladost Lucani,goalkeeper,48,-59
Nepal,Michelle Patrick,Jawalakhel,forward,58,81
Iraq,Marc Lewis,Al Najaf,goalkeeper,55,-55
Dominican Republic,Kevin Pratt,Atletico Vega Real,forward,69,17
Suriname,Barbara Ewing,SNL,goalkeeper,77,-22
Burkina Faso,Kevin Waller,RC Bobo,goalkeeper,38,-77
Lesotho,Kevin Flores,Bantu,forward,47,55
Croatia,Colin Christian,Hajduk Split,midfielder,59,4
Namibia,Jesse Cooper,Young African,midfielder,57,70
Comoros,Ethan Gilbert,US Zilimadjou,midfielder,59,95
Netherlands,Melanie Pope,Ajax,goalkeeper,67,-66
Kuwait,Patrick Campbell,Al Kuwait,forward,38,35
Papua New Guinea,David Green,Morobe Wawens,goalkeeper,60,-20
Vietnam,Karen Cohen,Hanoi FC,goalkeeper,67,-78
Switzerland,Tracy Rivera,St. Gallen,defender,63,83
Bahrain,Wayne Richardson,Manama Club,goalkeeper,55,-50
Guyana,Jay Carney,Ann's Grove United,midfielder,53,46
United States,Kenneth Carney,Seattle Sounders,midfielder,67,90
Jordan,Mallory Crawford,Shabab Al Ordon,goalkeeper,62,-44
Greece,Chad Shields,Panathinaikos,defender,45,26
Latvia,Lisa Lynch,Spartaks Jurmala,goalkeeper,49,-38
Brunei,Ryan Hughes,Tabuan Muda,defender,46,69
Grenada,Nicholas Gomez,Queens Park Rangers,midfielder,60,53
Vietnam,Leslie Thomas,Viettel,forward,60,40
Luxembourg,Joanna Payne,Jeunesse Esch,defender,61,6
Denmark,Noah Hubbard,Randers,defender,63,33
Azerbaijan,Daryl Newman,Kapaz,goalkeeper,37,-10
Equatorial Guinea,Kathleen Mejia,Atletico Semu,goalkeeper,56,-74
Israel,Allison Parker,Hapoel Tel Aviv,forward,55,53
Congo,Patricia Hansen,AC Leopards,midfielder,77,57
Nepal,William Byrd,Manang Marshyangdi,defender,59,43
